term,category
glossiphoniidae,body
glossosoma,body
glossosomatidae,body
glycera,body
glyceridae,body
glyphopsyche,body
glyphotaelius,body
glyptotendipes,body
gnathobdellida,body
gnorimosphaeroma,body
goeldichironomus,body
goera,body
goeracea,body
goereilla,body
goeridae,body
goerita,body
goniadidae,body
gonomyia,body
graceus,body
grammotaulius,body
greniera,body
grensia,body
gumaga,body
guttipelopia,body
gymnopais,body
hagenella,body
halesochila,body
halocladius,body
haploscoloplos,body
haplotaxidae,body
harnischia,body
harpacticoida,body
hedria,body
heleniella,body
helicobacter,body
helicopsyche,body
helicopsychidae,body
helius,body
helobdella,body
hemerodromia,body
herpetocypris,body
hesionidae,body
hesperophylax,body
heteromyia,body
heteronemertea,body
heteroplectron,body
heterotanytarsus,body
heterotrissocladius,body
hexarthra,body
hexatoma,body
himalopsyche,body
hirudinea,body
holopedidae,body
holopedium,body
holorusia,body
homophylax,body
homoplectra,body
hoplonemertea,body
human,body
hydatophylax,body
hydra,body
hydridae,body
hydrobaenus,body
hydroida,body
hydrophoria,body
hydrophorus,body
hydropsyche,body
hydropsychidae,body
hydroptila,body
hydroptilidae,body
hydrozoa,body
hypocharassus,body
idotea,body
idoteidae,body
ilyodrilus,body
insecta,body
ironoquia,body
isopoda,body
ithytrichia,body
kellicottia,body
keratella,body
kiefferulus,body
klebsiella,body
krenopelopia,body
krenosmittia,body
labrundinia,body
lampropidae,body
lamprops,body
langessa,body
larsia,body
latona,body
latonopsis,body
lauterborniella,body
lecane,body
lecanidae,body
legionella,body
lenarchus,body
lepadella,body
lepania,body
lepidoptera,body
lepidostoma,body
lepidostomatidae,body
leptoceridae,body
leptocerus,body
leptochelia,body
leptonema,body
leptophylax,body
leptostylis,body
leuconidae,body
leucotrichia,body
limnephilidae,body
limnephilus,body
limnochironomus,body
limnodrilus,body
limnophila,body
limnophora,body
limonia,body
lineidae,body
lineus,body
lirceus,body
liriope,body
lispe,body
lispoides,body
lophocharis,body
lumbriculidae,body
lumbriculus,body
lype,body
macrobdella,body
macrobrachium,body
macrochaetus,body
macronema,body
macropelopia,body
macrothricidae,body
macrothrix,body
magelonidae,body
maldanidae,body
mallochohelea,body
manophylax,body
mansonia,body
marilia,body
maruina,body
matrioptila,body
mayatrichia,body
melanderia,body
mesocricotopus,body
mesocyclops,body
metacnephia,body
metriocnemus,body
micrasema,body
microcricotopus,body
micropsectra,body
microtendipes,body
micrura,body
mochlonyx,body
molanna,body
molannidae,body
monodiamesa,body
monohelea,body
monopelopia,body
monostyla,body
moselyana,body
munroessa,body
muscidae,body
mysidacea,body
mysidae,body
mystacides,body
mytilina,body
myzobdella,body
naididae,body
naineris,body
nais,body
namamyia,body
nannastacidae,body
nanocladius,body
natarsia,body
neargyractis,body
nebaliacea,body
nectopsyche,body
nematoda,body
nematomorpha,body
nemertea,body
nemotaulius,body
nemotelus,body
nemoura,body
nemouridae,body
neocataclysta,body
neophylax,body
neothremma,body
neotrichia,body
nephelopsis,body
nephtyidae,body
nepticula,body
nepticulidae,body
nereis,body
nerophilus,body
neureclipsis,body
nilotanypus,body
nilothauma,body
noctuidae,body
notholca,body
notommata,body
notommatidae,body
notostraca,body
nyctiophylax,body
nymphomyiidae,body
nymphula,body
nymphuliella,body
occidentalia,body
ochrotrichia,body
odontoceridae,body
odontomesa,body
oecetis,body
oligobdella,body
oligochaeta,body
oligophlebodes,body
oligostigmoides,body
oligostomis,body
oligotricha,body
omisus,body
onocosmoecus,body
onuphidae,body
opheliidae,body
orbinia,body
orbiniidae,body
orconectes,body
ormosia,body
oropsyche,body
orthocladius,body
orthopodomyia,body
orthotrichia,body
ototyphlonemertidae,body
oweniidae,body
oxyelophila,body
oxyethira,body
pacifastacus,body
paduniella,body
pagastia,body
pagastiella,body
palaeagapetus,body
palaemonetes,body
palaemonidae,body
palaeodipteron,body
paleonemertea,body
palpomyia,body
paraboreochlus,body
paracandona,body
parachaetocladius,body
parachironomus,body
paracladius,body
paracladopelma,body
paraclunio,body
paracricotopus,body
paracyclops,body
parakiefferiella,body
paralauterborniella,body
paramerina,body
parametriocnemus,body
paraonidae,body
paraphaenocladius,body
paraponyx,body
